title,2024-08-28,2024-05-29,2024-02-27,2023-11-28,2023-08-28
TSY INFL IX N/B 07/23 0.375,,,,,1236.71
TSY INFL IX N/B 01/24 0.625,,,1901.31,2310.7,2276.19
TSY INFL IX N/B 04/24 0.5,,,1224.95,1261.24,1000.2
TSY INFL IX N/B 07/24 0.125,,2702.61,2775.83,2921.06,2604.23
TSY INFL IX N/B 10/24 0.125,151.46,2274.92,2397.54,2255.3,1948.8
TSY INFL IX N/B 01/25 0.25,237.60999999999999,2197.53,1958.0099999999998,1385.31,1341.07
TSY INFL IX N/B 01/25 2.375,50.27,536.01,499.28000000000003,408.26,405.81
TSY INFL IX N/B 04/25 0.125,355.46999999999997,1065.12,1026.66,1012.32,792.21
TSY INFL IX N/B 07/25 0.375,65.71,484.25,596.26,573.6700000000001,569.12
TSY INFL IX N/B 10/25 0.125,105.77,785.38,776.35,743.39,721.55
TSY INFL IX N/B 01/26 0.625,39.78,290.46,287.89,281.84,201.42
TSY INFL IX N/B 01/26 2,160.29,168.97,168.04,164.97,164.79
TSY INFL IX N/B 04/26 0.125,91.01,387.42,473.54,471.39,453.28999999999996
TSY INFL IX N/B 07/26 0.125,129.7,338.65999999999997,378.75,369.15999999999997,328.95
TSY INFL IX N/B 10/26 0.125,52.43,1001.95,995.13,1120.92,1115.26
TSY INFL IX N/B 01/27 2.375,9.21,46.76,9.129999999999999,8.92,8.959999999999999
TSY INFL IX N/B 01/27 0.375,68.29,453.18,450.47,438.14,438.61
TSY INFL IX N/B 04/27 0.125,61.65,185.89,173.51,167.72,115.01
TSY INFL IX N/B 07/27 0.375,55.64,266.42,265.47,245.82,184.95999999999998
TSY INFL IX N/B 10/27 1.625,70.29,587.21,633.53,626.24,1107.1999999999998
TSY INFL IX N/B 01/28 1.75,281.44,358.5,346.5,336.46000000000004,339.81
TSY INFL IX N/B 01/28 0.5,260.28,911.9599999999999,910.81,925.8900000000001,800.57
TSY INFL IX N/B 04/28 3.625,303.74,307.88,309.49,301.6,305.78000000000003
TSY INFL IX N/B 04/28 1.25,390.25,691.67,403.75,391.61,307.41
TSY INFL IX N/B 07/28 0.75,0.03,632.68,585.9200000000001,616.62,713.9200000000001
TSY INFL IX N/B 10/28 2.375,237.31,356.2,15.73,,
TSY INFL IX N/B 01/29 0.875,74.92,309.03999999999996,586.92,565.36,341.45
TSY INFL IX N/B 01/29 2.5,144.5,220.44,297.96,288.31,292.68
TSY INFL IX N/B 04/29 3.875,313.40000000000003,339.64000000000004,341.64,331.50999999999993,337.64000000000004
TSY INFL IX N/B 04/29 2.125,281.88,,,,
TSY INFL IX N/B 07/29 0.25,302.31,1929.8700000000001,1918.95,1811.4299999999998,1822.96
TSY INFL IX N/B 01/30 0.125,308.06,551.48,439.74,420.23,386.27
TSY INFL IX N/B 07/30 0.125,323.52,1868.4899999999998,1775.21,1723.37,1759.7599999999998
TSY INFL IX N/B 01/31 0.125,283.22,487.58000000000004,522.31,525.8499999999999,442.12
TSY INFL IX N/B 07/31 0.125,724.3199999999999,1160.56,1163.7,1169.93,1123.6
TSY INFL IX N/B 01/32 0.125,472.31,759.27,726.68,638.12,620.73
TSY INFL IX N/B 04/32 3.375,15.05,16.62,16.740000000000002,16.04,16.78
TSY INFL IX N/B 07/32 0.625,819.5400000000001,2284.09,2197.37,2036.23,2013.41
TSY INFL IX N/B 01/33 1.125,190.35,674.2,584.78,252.34,323.68
TSY INFL IX N/B 07/33 1.375,149.79,1829.1400000000003,1602.59,1120.72,
TSY INFL IX N/B 01/34 1.75,60.59,403.22,,,
TSY INFL IX N/B 02/40 2.125,83.17,207.73000000000002,211.16,205.28,262.43
TSY INFL IX N/B 02/41 2.125,65.46,185.68,191.99,180.64,239.45000000000002
TSY INFL IX N/B 02/42 0.75,145.44,439.90999999999997,427.98,449.02,509.4
TSY INFL IX N/B 02/43 0.625,59.48,162.94,166.28,172.73999999999998,178.15
TSY INFL IX N/B 02/44 1.375,241.0,518.26,523.23,519.91,567.62
TSY INFL IX N/B 02/45 0.75,271.53999999999996,569.37,603.19,580.79,633.87
TSY INFL IX N/B 02/46 1,192.45000000000002,443.5,458.53999999999996,434.25,471.36
TSY INFL IX N/B 02/47 0.875,190.68,488.44,495.52,470.7,526.07
TSY INFL IX N/B 02/48 1,49.4,324.22,337.46,316.76,352.81
TSY INFL IX N/B 02/49 1,46.45,601.23,605.29,554.8000000000001,653.68
TSY INFL IX N/B 02/50 0.25,150.84,340.84000000000003,352.36,309.04999999999995,374.70000000000005
TSY INFL IX N/B 02/51 0.125,494.59000000000003,532.46,495.87,205.42,246.93
TSY INFL IX N/B 02/52 0.125,88.50999999999999,183.16000000000003,158.57999999999998,128.26,78.86
TSY INFL IX N/B 02/53 1.5,82.55999999999999,668.58,709.94,708.1800000000001,438.51
TSY INFL IX N/B 02/54 2.125,40.86,90.3,,,
